French Word/Phrase,English Word/Phrase
du pain, bread
une tasse, mug
un bol, bowl 
un verre, glass
un coca, cola
du th'e, tea
du riz, rice
un poisson, fish
des tomates, tomatoes
un 'epi de mais, sweet corn
une mangue, mango
des oeufs, eggs
des tartines, toast
une banane, banana
des pommes, apples
une carotte, carrot
des poires, pears
du sucre, sugar
du beurre, butter
des fraises, strawberries
un ignon, onion
un concombre, cucumber
un pamplemouse, grapefruit
un citron, lemon
une orange, orange
des framboises, raspberries
du raisin, grapes
un fromage, cheese
des pommes de terre, potatoes
de l'ail, garlic
des frites, fries
une pizza, pizza
une hamburger, hamburger
des champignons, mushrooms
une prune, plum
des baguettes choinoises, chopsticks
